DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,% C>T (APOBEC)
'ON661559.1 | Collection Date: 2021.0',27.54
'ON661558.1 | Collection Date: 2021.0',27.27
'ON661555.1 | Collection Date: 2021.0',27.01
'ON524470.1 | Collection Date: 2020.0',26.69
'ON524491.1 | Collection Date: 2020.0',26.77
'ON524532.1 | Collection Date: 2021.0',27.01
'ON524506.1 | Collection Date: 2020.0',26.92
'ON524512.1 | Collection Date: 2020.0',26.92
'ON524499.1 | Collection Date: 2020.0',26.75
'ON524483.1 | Collection Date: 2020.0',25.89
'ON524455.1 | Collection Date: 2019.0',26.86
'ON524429.1 | Collection Date: 2019.0',26.77
'ON524433.1 | Collection Date: 2019.0',26.77
'ON524523.1 | Collection Date: 2020.0',26.77
'ON524513.1 | Collection Date: 2020.0',26.77
'ON524489.1 | Collection Date: 2020.0',27.01
'ON524493.1 | Collection Date: 2020.0',26.69
'ON524504.1 | Collection Date: 2020.0',27.01
'ON524511.1 | Collection Date: 2020.0',27.01
'ON524508.1 | Collection Date: 2020.0',26.69
'ON524487.1 | Collection Date: 2020.0',26.77
'ON524495.1 | Collection Date: 2020.0',26.77
'ON524453.1 | Collection Date: 2019.0',27.01
'ON524456.1 | Collection Date: 2019.0',26.95
'ON524481.1 | Collection Date: 2020.0',27.04
'ON524477.1 | Collection Date: 2020.0',26.86
'ON524461.1 | Collection Date: 2019.0',26.77
'ON524466.1 | Collection Date: 2020.0',26.45
'ON524472.1 | Collection Date: 2020.0',26.77
'ON524505.1 | Collection Date: 2020.0',26.86
'ON524486.1 | Collection Date: 2020.0',26.86
'ON524488.1 | Collection Date: 2020.0',26.77
'ON524475.1 | Collection Date: 2020.0',26.86
'ON524476.1 | Collection Date: 2020.0',26.77
'ON524521.1 | Collection Date: 2020.0',27.1
'ON524479.1 | Collection Date: 2020.0',27.1
'ON524480.1 | Collection Date: 2020.0',27.01
'ON524441.1 | Collection Date: 2019.0',26.86
'ON524454.1 | Collection Date: 2019.0',26.86
'ON524463.1 | Collection Date: 2019.0',27.01
'ON524452.1 | Collection Date: 2019.0',26.69
'ON524434.1 | Collection Date: 2019.0',27.21
'ON524437.1 | Collection Date: 2019.0',27.3
'MH577314.1 | Collection Date: 2018.0',27.48
'MH577313.1 | Collection Date: 2017.0',27.39
'ON524426.1 | Collection Date: 2019.0',27.63
'MF621614.1 | Collection Date: 2016.0',28.39
'OQ161772.2 | Collection Date: 2022.0',29.3
'OR477200.1 | Collection Date: 2022.0',30.49
'OR477199.1 | Collection Date: 2022.0',30.59
'OR477195.1 | Collection Date: 2022.0',30.29
'OR477197.1 | Collection Date: 2022.0',30.29
'OR477198.1 | Collection Date: 2022.0',30.49
'OR477191.1 | Collection Date: 2022.0',30.59
'OR477202.1 | Collection Date: 2022.0',30.69
'OR477188.1 | Collection Date: 2022.0',30.59
'OR477189.1 | Collection Date: 2022.0',30.59
'OR477194.1 | Collection Date: 2022.0',30.59
'OR477201.1 | Collection Date: 2022.0',30.59
'OR477193.1 | Collection Date: 2022.0',30.72
'OR477192.1 | Collection Date: 2022.0',30.82
'OR477190.1 | Collection Date: 2022.0',30.82
'OR477196.1 | Collection Date: 2022.0',31.05
'KX228694.1 | Collection Date: 2014.0',26.3
'MN746031.1 | Collection Date: 2018.0',27.06
'MN746032.1 | Collection Date: 2018.0',26.91
'ON496633.1 | Collection Date: 2019.0',29.13
'ON524436.1 | Collection Date: 2019.0',27.71
'ON524432.1 | Collection Date: 2019.0',27.74
'ON524449.1 | Collection Date: 2019.0',27.97
'ON524440.1 | Collection Date: 2019.0',27.71
'ON524447.1 | Collection Date: 2019.0',27.83
'ON524423.1 | Collection Date: 2019.0',27.83
'ON524438.1 | Collection Date: 2019.0',27.71
'ON524445.1 | Collection Date: 2019.0',27.97
'ON524468.1 | Collection Date: 2020.0',28.21
'ON524515.1 | Collection Date: 2020.0',28.12
'ON524516.1 | Collection Date: 2020.0',28.03
'ON524517.1 | Collection Date: 2020.0',28.53
'ON524527.1 | Collection Date: 2021.0',28.21
'ON524520.1 | Collection Date: 2020.0',28.21
'ON524525.1 | Collection Date: 2020.0',28.21
'ON524524.1 | Collection Date: 2020.0',28.12
'ON661557.1 | Collection Date: 2021.0',28.12
'ON661556.1 | Collection Date: 2021.0',28.43
'ON524533.1 | Collection Date: 2021.0',28.21
'ON524526.1 | Collection Date: 2021.0',28.03
'ON524494.1 | Collection Date: 2020.0',27.88
'ON524484.1 | Collection Date: 2020.0',27.97
'ON524471.1 | Collection Date: 2020.0',28.06
'ON661554.1 | Collection Date: 2021.0',27.97
'ON524530.1 | Collection Date: 2021.0',28.12
'ON524485.1 | Collection Date: 2020.0',28.3
'ON524529.1 | Collection Date: 2021.0',28.43
'ON524478.1 | Collection Date: 2020.0',28.3
'ON524507.1 | Collection Date: 2020.0',27.97
'ON524509.1 | Collection Date: 2020.0',27.88
'ON524457.1 | Collection Date: 2019.0',28.21
'ON524451.1 | Collection Date: 2019.0',27.8
'ON524450.1 | Collection Date: 2019.0',28.16
'ON524496.1 | Collection Date: 2020.0',28.16
'ON524498.1 | Collection Date: 2020.0',28.62
'ON524444.1 | Collection Date: 2019.0',28.1
'ON524482.1 | Collection Date: 2020.0',28.06
'ON524528.1 | Collection Date: 2021.0',28.34
'ON524518.1 | Collection Date: 2020.0',27.56
'ON524492.1 | Collection Date: 2020.0',28.16
'ON524446.1 | Collection Date: 2019.0',27.92
'ON524501.1 | Collection Date: 2020.0',28.25
'ON524497.1 | Collection Date: 2020.0',28.25
'ON524510.1 | Collection Date: 2020.0',27.97
'ON524490.1 | Collection Date: 2020.0',28.57
'ON524500.1 | Collection Date: 2020.0',28.66
'ON524474.1 | Collection Date: 2020.0',28.57
'ON524467.1 | Collection Date: 2020.0',28.3
'ON524469.1 | Collection Date: 2020.0',28.39
'ON524514.1 | Collection Date: 2020.0',27.74
'ON524465.1 | Collection Date: 2020.0',28.06
'ON524502.1 | Collection Date: 2020.0',27.97
'ON524503.1 | Collection Date: 2020.0',27.8
'ON524448.1 | Collection Date: 2019.0',28.12
'ON524462.1 | Collection Date: 2019.0',28.62
'ON524531.1 | Collection Date: 2021.0',27.88
'ON524442.1 | Collection Date: 2019.0',28.25
'ON524464.1 | Collection Date: 2019.0',28.16
'MH577312.1 | Collection Date: 2017.0',27.8
'MH577309.1 | Collection Date: 2017.0',28.16
'MH577311.1 | Collection Date: 2018.0',27.48
'MH577308.1 | Collection Date: 2017.0',27.85
'MH577310.1 | Collection Date: 2017.0',27.94
'MN832785.1 | Collection Date: 2018.0',28.25
'MG546668.1 | Collection Date: 2017.0',27.13
'LC515201.1 | Collection Date: 2016.0',30.03
'OQ791466.1 | Collection Date: 2019.0',31.82
'OR031237.1 | Collection Date: 2018.0',31.62
'KF569906.1 | Collection Date: 2012.0',13.51
'KX523680.1 | Collection Date: 1988.0',16.67
'KX035096.1 | Collection Date: 2013.0',14.71
'MT181522.1 | Collection Date: 2019.0',12.82
'PQ009001.1 | Collection Date: 2019.0',21.6
'MK829707.1 | Collection Date: 2013.0',16.36
'KF724017.1 | Collection Date: 2013.0',10.53
'KF724022.1 | Collection Date: 2013.0',13.21
'KF724021.1 | Collection Date: 2013.0',14.55
'KF724020.1 | Collection Date: 2013.0',16.98
'KX088647.1 | Collection Date: 2016.0',13.79
'KF724023.1 | Collection Date: 2013.0',8.33
'KF724019.1 | Collection Date: 2013.0',12.24
'KF724018.1 | Collection Date: 2013.0',9.52
'NC_001489.1 | Collection Date: 1958',0.0
'PP860039.1 | Collection Date: 2022.0',28.4
'LC128713.1 | Collection Date: 2000.0',27.96
'LC515200.1 | Collection Date: 2016.0',16.56
'LC515202.1 | Collection Date: 2016.0',16.31
'LC515196.1 | Collection Date: 2016.0',16.36
'LC515198.1 | Collection Date: 2016.0',16.33
'LC515199.1 | Collection Date: 2016.0',16.22
'MH933767.1 | Collection Date: 2014.0',16.55
'MH933768.1 | Collection Date: 2014.0',16.55
'LC515197.1 | Collection Date: 2016.0',16.41
'MH933766.1 | Collection Date: 2014.0',16.27
'AB973400.1 | Collection Date: 2014.0',12.87
'OR606575.1 | Collection Date: 2023.0',12.57
'AB425339.1 | Collection Date: 1979.0',12.7
'AB300205.1 | Collection Date: 1977.0',12.65
